"time","group","var","MSM Inside KC","non-MSM Inside KC","non-MSM Outside KC","MSM Outside KC","value"
2005,"Diagnoses and Incidence","# Diagnosed",58,28,32,31,149
2005.25,"Diagnoses and Incidence","# Diagnosed",54,16,17,39,126
2005.5,"Diagnoses and Incidence","# Diagnosed",49,19,30,33,131
2005.75,"Diagnoses and Incidence","# Diagnosed",58,28,23,34,143
2006,"Diagnoses and Incidence","# Diagnosed",56,19,20,34,129
2006.25,"Diagnoses and Incidence","# Diagnosed",61,26,23,40,150
2006.5,"Diagnoses and Incidence","# Diagnosed",53,16,23,29,121
2006.75,"Diagnoses and Incidence","# Diagnosed",51,17,30,31,129
2007,"Diagnoses and Incidence","# Diagnosed",60,23,37,39,159
2007.25,"Diagnoses and Incidence","# Diagnosed",66,18,20,43,147
2007.5,"Diagnoses and Incidence","# Diagnosed",63,21,32,35,151
2007.75,"Diagnoses and Incidence","# Diagnosed",45,18,22,32,117
2008,"Diagnoses and Incidence","# Diagnosed",51,23,23,26,123
2008.25,"Diagnoses and Incidence","# Diagnosed",58,30,25,45,158
2008.5,"Diagnoses and Incidence","# Diagnosed",46,28,28,29,131
2008.75,"Diagnoses and Incidence","# Diagnosed",55,18,20,23,116
2009,"Diagnoses and Incidence","# Diagnosed",45,18,27,49,139
2009.25,"Diagnoses and Incidence","# Diagnosed",62,14,31,33,140
2009.5,"Diagnoses and Incidence","# Diagnosed",54,15,22,29,120
2009.75,"Diagnoses and Incidence","# Diagnosed",61,28,18,26,133
2010,"Diagnoses and Incidence","# Diagnosed",73,19,34,33,159
2010.25,"Diagnoses and Incidence","# Diagnosed",68,13,16,31,128
2010.5,"Diagnoses and Incidence","# Diagnosed",60,16,29,32,137
2010.75,"Diagnoses and Incidence","# Diagnosed",55,14,22,30,121
2011,"Diagnoses and Incidence","# Diagnosed",50,20,21,46,137
2011.25,"Diagnoses and Incidence","# Diagnosed",56,13,12,31,112
2011.5,"Diagnoses and Incidence","# Diagnosed",48,16,18,24,106
2011.75,"Diagnoses and Incidence","# Diagnosed",52,13,28,36,129
2012,"Diagnoses and Incidence","# Diagnosed",53,22,28,33,136
2012.25,"Diagnoses and Incidence","# Diagnosed",55,20,24,39,138
2012.5,"Diagnoses and Incidence","# Diagnosed",50,19,18,29,116
2012.75,"Diagnoses and Incidence","# Diagnosed",44,19,23,22,108
2013,"Diagnoses and Incidence","# Diagnosed",52,21,14,34,121
2013.25,"Diagnoses and Incidence","# Diagnosed",44,20,20,29,113
2013.5,"Diagnoses and Incidence","# Diagnosed",41,16,20,30,107
2013.75,"Diagnoses and Incidence","# Diagnosed",43,11,21,32,107
2014,"Diagnoses and Incidence","# Diagnosed",32,24,17,26,99
2014.25,"Diagnoses and Incidence","# Diagnosed",61,17,18,23,119
2014.5,"Diagnoses and Incidence","# Diagnosed",61,27,21,21,130
2014.75,"Diagnoses and Incidence","# Diagnosed",35,16,21,23,95
2015,"Diagnoses and Incidence","# Diagnosed",38,24,16,19,97
2015.25,"Diagnoses and Incidence","# Diagnosed",40,15,16,37,108
2015.5,"Diagnoses and Incidence","# Diagnosed",47,10,28,44,129
2015.75,"Diagnoses and Incidence","# Diagnosed",39,21,26,34,120
2016,"Diagnoses and Incidence","# Diagnosed",44,17,28,31,120
2016.25,"Diagnoses and Incidence","# Diagnosed",35,17,28,18,98
2016.5,"Diagnoses and Incidence","# Diagnosed",35,21,30,30,116
2016.75,"Diagnoses and Incidence","# Diagnosed",30,17,26,26,99
2017,"Diagnoses and Incidence","# Diagnosed",25,24,29,33,111
2017.25,"Diagnoses and Incidence","# Diagnosed",37,15,19,31,102
2017.5,"Diagnoses and Incidence","# Diagnosed",38,20,33,30,121
2017.75,"Diagnoses and Incidence","# Diagnosed",37,18,20,26,101
2018,"Diagnoses and Incidence","# Diagnosed",47,35,30,29,141
2018.25,"Diagnoses and Incidence","# Diagnosed",33,37,19,29,118
2005,"Diagnoses and Incidence","Base Case",55.5734199769683,20.1789949378865,24.823968779268,34.6190737119934,135.195457406116
2005.25,"Diagnoses and Incidence","Base Case",55.5201675166958,19.9072691622128,24.7288735713099,34.7324054891109,134.888715739329
2005.5,"Diagnoses and Incidence","Base Case",55.5988476885487,19.7831573284761,24.7881131541514,34.7167395441779,134.886857715354
2005.75,"Diagnoses and Incidence","Base Case",55.8462730921257,19.6099215343862,24.8303301381467,34.7390839602045,135.025608724863
2006,"Diagnoses and Incidence","Base Case",55.9870568587972,19.337360488963,24.990474848226,34.7524297759197,135.067321971906
2006.25,"Diagnoses and Incidence","Base Case",56.0666612015489,19.1929677676275,25.2398139009183,34.7526389411159,135.252081811211
2006.5,"Diagnoses and Incidence","Base Case",56.0161122728454,18.9625564918886,25.4306834903319,34.6396193605171,135.048971615583
2006.75,"Diagnoses and Incidence","Base Case",56.0731584731561,18.9185943424392,25.5452961504628,34.7220433488022,135.25909231486
2007,"Diagnoses and Incidence","Base Case",56.1699708931906,18.8780426671204,25.3646943600498,34.7617462157613,135.174454136122
2007.25,"Diagnoses and Incidence","Base Case",56.0061422170244,18.8639043951306,24.9389869391772,34.5025805225118,134.311614073844
2007.5,"Diagnoses and Incidence","Base Case",55.5214378693318,18.8407243791601,24.5654259161327,33.976357349712,132.903945514337
2007.75,"Diagnoses and Incidence","Base Case",54.997082717855,18.7285502947751,24.1268280587516,33.5029966519372,131.355457723319
2008,"Diagnoses and Incidence","Base Case",54.9163061003383,18.5282999446744,23.7740135429292,33.2188769469132,130.437496534855
2008.25,"Diagnoses and Incidence","Base Case",55.0181971368985,18.0138449082662,23.4700845479768,33.0965953732009,129.598721966342
2008.5,"Diagnoses and Incidence","Base Case",55.1757128257042,17.1662791928998,23.0945313740579,32.6705828453944,128.107106238056
2008.75,"Diagnoses and Incidence","Base Case",55.670166611248,16.2704133838806,22.6613052695223,32.4918888730542,127.093774137705
2009,"Diagnoses and Incidence","Base Case",56.2359023894112,15.5524110133141,22.2714210889925,32.438417990896,126.498152482614
2009.25,"Diagnoses and Incidence","Base Case",57.0000641232999,15.0981280701823,21.7564934793014,31.8658054427631,125.720491115547
2009.5,"Diagnoses and Incidence","Base Case",57.4578427186544,14.7921489285605,21.0935145087269,31.4482082348264,124.791714390768
2009.75,"Diagnoses and Incidence","Base Case",57.7592725655126,14.5246235772971,20.5702049754725,31.3437634842084,124.197864602491
2010,"Diagnoses and Incidence","Base Case",57.5923640807402,14.1141710720929,20.1271201077516,31.4717451290601,123.305400389645
2010.25,"Diagnoses and Incidence","Base Case",56.7287237281876,13.9471327090306,19.4962792469033,31.5941419074482,121.76627759157
2010.5,"Diagnoses and Incidence","Base Case",55.4756725119441,13.9989808021977,19.0514459870878,31.6975180973557,120.223617398585
2010.75,"Diagnoses and Incidence","Base Case",54.140619721803,14.2154243386107,18.5744446251481,31.7413243017208,118.671812987283
