"Subgroup","Year","Diagnoses/Case","PLWHA","Undiagnosed Cases","True Prevalence","Undiagnosed Fraction (%)"
"MSM Inside KC",2010,"Base Case",,351.4,,
"MSM Inside KC",2010,"Upper Bound",,683.7,,
"non-MSM Inside KC",2010,"Base Case",,336,,
"non-MSM Inside KC",2010,"Upper Bound",,664.3,,
"Inside KC",2010,"Base Case",,687.5,7248.5,9.5
"Inside KC",2010,"PLWHA",6561,,,
"Inside KC",2010,"Upper Bound",,1348,7909,17
"MSM Outside KC",2010,"Base Case",,347.1,,
"MSM Outside KC",2010,"Upper Bound",,679,,
"non-MSM Outside KC",2010,"Base Case",,412.7,,
"non-MSM Outside KC",2010,"Upper Bound",,788.1,,
"Outside KC",2010,"Base Case",,759.7,5347.7,14.2
"Outside KC",2010,"PLWHA",4588,,,
"Outside KC",2010,"Upper Bound",,1467,6055,24.2
"MSM",2010,"Base Case",,698.5,9107.5,7.7
"MSM",2010,"PLWHA",8409,,,
"MSM",2010,"Upper Bound",,1363,9772,13.9
"non-MSM",2010,"Base Case",,748.7,3488.7,21.5
"non-MSM",2010,"PLWHA",2740,,,
"non-MSM",2010,"Upper Bound",,1452,4192,34.6
"Total-stratified",2010,"Base Case",,1447,12596,11.5
"Total-stratified",2010,"PLWHA",11149,,,
"Total-stratified",2010,"Upper Bound",,2815,13964,20.2
"MSM Inside KC",2011,"Base Case",,338.4,,
"MSM Inside KC",2011,"Upper Bound",,662.5,,
"non-MSM Inside KC",2011,"Base Case",,330.8,,
"non-MSM Inside KC",2011,"Upper Bound",,670.3,,
"Inside KC",2011,"Base Case",,669.2,7069.2,9.5
"Inside KC",2011,"PLWHA",6400,,,
"Inside KC",2011,"Upper Bound",,1333,7733,17.2
"MSM Outside KC",2011,"Base Case",,340.3,,
"MSM Outside KC",2011,"Upper Bound",,664.5,,
"non-MSM Outside KC",2011,"Base Case",,401.1,,
"non-MSM Outside KC",2011,"Upper Bound",,780.7,,
"Outside KC",2011,"Base Case",,741.4,5545.4,13.4
"Outside KC",2011,"PLWHA",4804,,,
