"time","group","var","non-MSM","MSM","value"
2005,"Diagnoses and Incidence","# Diagnosed",32,32,64
2005.25,"Diagnoses and Incidence","# Diagnosed",17,39,56
2005.5,"Diagnoses and Incidence","# Diagnosed",30,33,63
2005.75,"Diagnoses and Incidence","# Diagnosed",23,34,57
2006,"Diagnoses and Incidence","# Diagnosed",20,34,54
2006.25,"Diagnoses and Incidence","# Diagnosed",23,40,63
2006.5,"Diagnoses and Incidence","# Diagnosed",23,28,51
2006.75,"Diagnoses and Incidence","# Diagnosed",30,31,61
2007,"Diagnoses and Incidence","# Diagnosed",37,39,76
2007.25,"Diagnoses and Incidence","# Diagnosed",21,42,63
2007.5,"Diagnoses and Incidence","# Diagnosed",32,35,67
2007.75,"Diagnoses and Incidence","# Diagnosed",22,32,54
2008,"Diagnoses and Incidence","# Diagnosed",23,26,49
2008.25,"Diagnoses and Incidence","# Diagnosed",25,45,70
2008.5,"Diagnoses and Incidence","# Diagnosed",28,28,56
2008.75,"Diagnoses and Incidence","# Diagnosed",21,23,44
2009,"Diagnoses and Incidence","# Diagnosed",27,49,76
2009.25,"Diagnoses and Incidence","# Diagnosed",32,33,65
2009.5,"Diagnoses and Incidence","# Diagnosed",22,29,51
2009.75,"Diagnoses and Incidence","# Diagnosed",18,26,44
2010,"Diagnoses and Incidence","# Diagnosed",34,33,67
2010.25,"Diagnoses and Incidence","# Diagnosed",16,31,47
2010.5,"Diagnoses and Incidence","# Diagnosed",29,32,61
2010.75,"Diagnoses and Incidence","# Diagnosed",22,30,52
2011,"Diagnoses and Incidence","# Diagnosed",21,46,67
2011.25,"Diagnoses and Incidence","# Diagnosed",12,32,44
2011.5,"Diagnoses and Incidence","# Diagnosed",19,24,43
2011.75,"Diagnoses and Incidence","# Diagnosed",28,36,64
2012,"Diagnoses and Incidence","# Diagnosed",28,33,61
2012.25,"Diagnoses and Incidence","# Diagnosed",24,39,63
2012.5,"Diagnoses and Incidence","# Diagnosed",18,29,47
2012.75,"Diagnoses and Incidence","# Diagnosed",23,22,45
2013,"Diagnoses and Incidence","# Diagnosed",15,33,48
2013.25,"Diagnoses and Incidence","# Diagnosed",20,29,49
2013.5,"Diagnoses and Incidence","# Diagnosed",18,29,47
2013.75,"Diagnoses and Incidence","# Diagnosed",21,32,53
2014,"Diagnoses and Incidence","# Diagnosed",17,26,43
2014.25,"Diagnoses and Incidence","# Diagnosed",18,23,41
2014.5,"Diagnoses and Incidence","# Diagnosed",21,21,42
2014.75,"Diagnoses and Incidence","# Diagnosed",21,23,44
2015,"Diagnoses and Incidence","# Diagnosed",16,20,36
2015.25,"Diagnoses and Incidence","# Diagnosed",16,37,53
2015.5,"Diagnoses and Incidence","# Diagnosed",29,44,73
2015.75,"Diagnoses and Incidence","# Diagnosed",26,34,60
2016,"Diagnoses and Incidence","# Diagnosed",29,31,60
2016.25,"Diagnoses and Incidence","# Diagnosed",28,18,46
2016.5,"Diagnoses and Incidence","# Diagnosed",28,30,58
2016.75,"Diagnoses and Incidence","# Diagnosed",27,26,53
2017,"Diagnoses and Incidence","# Diagnosed",27,32,59
2017.25,"Diagnoses and Incidence","# Diagnosed",20,33,53
2017.5,"Diagnoses and Incidence","# Diagnosed",30,30,60
2017.75,"Diagnoses and Incidence","# Diagnosed",21,28,49
2005,"Diagnoses and Incidence","Base Case",24.9319826144188,34.6123580706222,59.544340685041
2005.25,"Diagnoses and Incidence","Base Case",24.8645232064006,34.6477375504789,59.5122607568795
2005.5,"Diagnoses and Incidence","Base Case",24.9715499182641,34.5692729311667,59.5408228494309
2005.75,"Diagnoses and Incidence","Base Case",25.0281784232807,34.5254661744074,59.5536445976881
2006,"Diagnoses and Incidence","Base Case",25.2096196641633,34.4835422109187,59.693161875082
2006.25,"Diagnoses and Incidence","Base Case",25.452637614123,34.4291805416293,59.8818181557523
2006.5,"Diagnoses and Incidence","Base Case",25.6364850569564,34.2794282242629,59.9159132812193
2006.75,"Diagnoses and Incidence","Base Case",25.7610339847416,34.3555768304238,60.1166108151654
2007,"Diagnoses and Incidence","Base Case",25.5732966389063,34.3883769269807,59.961673565887
2007.25,"Diagnoses and Incidence","Base Case",25.1721126513442,34.1425126286681,59.3146252800123
2007.5,"Diagnoses and Incidence","Base Case",24.8043300170491,33.6585177597789,58.4628477768279
2007.75,"Diagnoses and Incidence","Base Case",24.3626648704314,33.217317593796,57.5799824642274
2008,"Diagnoses and Incidence","Base Case",24.0021268835053,32.9506515659143,56.9527784494196
2008.25,"Diagnoses and Incidence","Base Case",23.7022316426551,32.8429925488065,56.5452241914616
2008.5,"Diagnoses and Incidence","Base Case",23.315857804584,32.4484052520362,55.7642630566202
