"Subgroup","Year","Diagnoses/Case","Estimate","Min.","Mean","Max."
"MSM Inside KC",2010,"PLWHA","PLWHA",NA,4935,NA
"MSM Inside KC",2010,"Base Case","Undiagnosed Cases",338.7,348.2,360
"MSM Inside KC",2010,"Base Case","True Prevalence",5273.7,5283.2,5295
"MSM Inside KC",2010,"Base Case","Undiagnosed Fraction (%)",6.4,6.6,6.8
"MSM Inside KC",2010,"Upper Bound","Undiagnosed Cases",664.1,677.5,694.9
"MSM Inside KC",2010,"Upper Bound","True Prevalence",5599.1,5612.5,5629.9
"MSM Inside KC",2010,"Upper Bound","Undiagnosed Fraction (%)",11.9,12.1,12.3
"MSM Inside KC",2011,"PLWHA","PLWHA",NA,4825,NA
"MSM Inside KC",2011,"Base Case","Undiagnosed Cases",333.2,335,337.4
"MSM Inside KC",2011,"Base Case","True Prevalence",5158.2,5160,5162.4
"MSM Inside KC",2011,"Base Case","Undiagnosed Fraction (%)",6.5,6.5,6.5
"MSM Inside KC",2011,"Upper Bound","Undiagnosed Cases",651.6,656.1,661.5
"MSM Inside KC",2011,"Upper Bound","True Prevalence",5476.6,5481.1,5486.5
"MSM Inside KC",2011,"Upper Bound","Undiagnosed Fraction (%)",11.9,12,12.1
"MSM Inside KC",2012,"PLWHA","PLWHA",NA,4821,NA
"MSM Inside KC",2012,"Base Case","Undiagnosed Cases",315.5,322.6,330.6
"MSM Inside KC",2012,"Base Case","True Prevalence",5136.5,5143.6,5151.6
"MSM Inside KC",2012,"Base Case","Undiagnosed Fraction (%)",6.1,6.3,6.4
"MSM Inside KC",2012,"Upper Bound","Undiagnosed Cases",622.3,633,645.8
"MSM Inside KC",2012,"Upper Bound","True Prevalence",5443.3,5454,5466.8
"MSM Inside KC",2012,"Upper Bound","Undiagnosed Fraction (%)",11.4,11.6,11.8
"MSM Inside KC",2013,"PLWHA","PLWHA",NA,4916,NA
"MSM Inside KC",2013,"Base Case","Undiagnosed Cases",303,306,312.3
"MSM Inside KC",2013,"Base Case","True Prevalence",5219,5222,5228.3
"MSM Inside KC",2013,"Base Case","Undiagnosed Fraction (%)",5.8,5.9,6
"MSM Inside KC",2013,"Upper Bound","Undiagnosed Cases",601.8,606.7,615.2
"MSM Inside KC",2013,"Upper Bound","True Prevalence",5517.8,5522.7,5531.2
"MSM Inside KC",2013,"Upper Bound","Undiagnosed Fraction (%)",10.9,11,11.1
"MSM Inside KC",2014,"PLWHA","PLWHA",NA,5001,NA
"MSM Inside KC",2014,"Base Case","Undiagnosed Cases",283.1,298.2,309.2
"MSM Inside KC",2014,"Base Case","True Prevalence",5284.1,5299.2,5310.2
"MSM Inside KC",2014,"Base Case","Undiagnosed Fraction (%)",5.4,5.6,5.8
"MSM Inside KC",2014,"Upper Bound","Undiagnosed Cases",566.1,587.7,605.3
"MSM Inside KC",2014,"Upper Bound","True Prevalence",5567.1,5588.7,5606.3
"MSM Inside KC",2014,"Upper Bound","Undiagnosed Fraction (%)",10.2,10.5,10.8
"MSM Inside KC",2015,"PLWHA","PLWHA",NA,5069,NA
"MSM Inside KC",2015,"Base Case","Undiagnosed Cases",271.8,279.1,283.5
"MSM Inside KC",2015,"Base Case","True Prevalence",5340.8,5348.1,5352.5
"MSM Inside KC",2015,"Base Case","Undiagnosed Fraction (%)",5.1,5.2,5.3
"MSM Inside KC",2015,"Upper Bound","Undiagnosed Cases",541.3,554.4,564.3
"MSM Inside KC",2015,"Upper Bound","True Prevalence",5610.3,5623.4,5633.3
"MSM Inside KC",2015,"Upper Bound","Undiagnosed Fraction (%)",9.6,9.9,10
"MSM Inside KC",2016,"PLWHA","PLWHA",NA,5114,NA
"MSM Inside KC",2016,"Base Case","Undiagnosed Cases",250,256.8,265.7
"MSM Inside KC",2016,"Base Case","True Prevalence",5364,5370.8,5379.7
"MSM Inside KC",2016,"Base Case","Undiagnosed Fraction (%)",4.7,4.8,4.9
"MSM Inside KC",2016,"Upper Bound","Undiagnosed Cases",509.3,518.5,530.6
"MSM Inside KC",2016,"Upper Bound","True Prevalence",5623.3,5632.5,5644.6
"MSM Inside KC",2016,"Upper Bound","Undiagnosed Fraction (%)",9.1,9.2,9.4
"MSM Inside KC",2017,"PLWHA","PLWHA",NA,5220,NA
"MSM Inside KC",2017,"Base Case","Undiagnosed Cases",247.2,251.1,254.5
"MSM Inside KC",2017,"Base Case","True Prevalence",5467.2,5471.1,5474.5
"MSM Inside KC",2017,"Base Case","Undiagnosed Fraction (%)",4.5,4.6,4.6
"MSM Inside KC",2017,"Upper Bound","Undiagnosed Cases",498.2,506.6,511.7
"MSM Inside KC",2017,"Upper Bound","True Prevalence",5718.2,5726.6,5731.7
