"time","group","var","MSM Inside KC","non-MSM Inside KC","non-MSM Outside KC","MSM Outside KC","value"
2005,"Diagnoses and Incidence","# Diagnosed",58,28,32,32,150
2005.25,"Diagnoses and Incidence","# Diagnosed",54,16,17,39,126
2005.5,"Diagnoses and Incidence","# Diagnosed",49,19,30,33,131
2005.75,"Diagnoses and Incidence","# Diagnosed",59,28,23,34,144
2006,"Diagnoses and Incidence","# Diagnosed",56,19,20,34,129
2006.25,"Diagnoses and Incidence","# Diagnosed",61,26,23,40,150
2006.5,"Diagnoses and Incidence","# Diagnosed",53,16,23,28,120
2006.75,"Diagnoses and Incidence","# Diagnosed",50,18,30,31,129
2007,"Diagnoses and Incidence","# Diagnosed",59,24,37,39,159
2007.25,"Diagnoses and Incidence","# Diagnosed",66,18,21,42,147
2007.5,"Diagnoses and Incidence","# Diagnosed",63,21,32,35,151
2007.75,"Diagnoses and Incidence","# Diagnosed",45,18,22,32,117
2008,"Diagnoses and Incidence","# Diagnosed",51,23,23,26,123
2008.25,"Diagnoses and Incidence","# Diagnosed",58,31,25,45,159
2008.5,"Diagnoses and Incidence","# Diagnosed",46,28,28,28,130
2008.75,"Diagnoses and Incidence","# Diagnosed",56,18,21,23,118
2009,"Diagnoses and Incidence","# Diagnosed",45,18,27,49,139
2009.25,"Diagnoses and Incidence","# Diagnosed",62,14,32,33,141
2009.5,"Diagnoses and Incidence","# Diagnosed",54,15,22,29,120
2009.75,"Diagnoses and Incidence","# Diagnosed",61,29,18,26,134
2010,"Diagnoses and Incidence","# Diagnosed",73,19,34,33,159
2010.25,"Diagnoses and Incidence","# Diagnosed",68,13,16,31,128
2010.5,"Diagnoses and Incidence","# Diagnosed",60,16,29,32,137
2010.75,"Diagnoses and Incidence","# Diagnosed",55,14,22,30,121
2011,"Diagnoses and Incidence","# Diagnosed",50,20,21,46,137
2011.25,"Diagnoses and Incidence","# Diagnosed",56,12,12,32,112
2011.5,"Diagnoses and Incidence","# Diagnosed",48,16,19,24,107
2011.75,"Diagnoses and Incidence","# Diagnosed",52,13,28,36,129
2012,"Diagnoses and Incidence","# Diagnosed",53,22,28,33,136
2012.25,"Diagnoses and Incidence","# Diagnosed",55,20,24,39,138
2012.5,"Diagnoses and Incidence","# Diagnosed",50,19,18,29,116
2012.75,"Diagnoses and Incidence","# Diagnosed",44,20,23,22,109
2013,"Diagnoses and Incidence","# Diagnosed",52,21,15,33,121
