"Subgroup","Year","Diagnoses/Case","Estimate","Min.","Mean","Max."
"MSM Inside KC",2010,"PLWHA","PLWHA",NA,4871,NA
"MSM Inside KC",2010,"Base Case","Undiagnosed Cases",376.6,386.5,397.7
"MSM Inside KC",2010,"Base Case","True Prevalence",5247.6,5257.5,5268.7
"MSM Inside KC",2010,"Base Case","Undiagnosed Fraction (%)",7.2,7.4,7.5
"MSM Inside KC",2010,"Upper Bound","Undiagnosed Cases",736.2,751.2,768.7
"MSM Inside KC",2010,"Upper Bound","True Prevalence",5607.2,5622.2,5639.7
"MSM Inside KC",2010,"Upper Bound","Undiagnosed Fraction (%)",13.1,13.4,13.6
"MSM Inside KC",2011,"PLWHA","PLWHA",NA,4785,NA
"MSM Inside KC",2011,"Base Case","Undiagnosed Cases",368.1,370.8,373.7
"MSM Inside KC",2011,"Base Case","True Prevalence",5153.1,5155.8,5158.7
"MSM Inside KC",2011,"Base Case","Undiagnosed Fraction (%)",7.1,7.2,7.2
"MSM Inside KC",2011,"Upper Bound","Undiagnosed Cases",719.1,725.1,731.7
"MSM Inside KC",2011,"Upper Bound","True Prevalence",5504.1,5510.1,5516.7
"MSM Inside KC",2011,"Upper Bound","Undiagnosed Fraction (%)",13.1,13.2,13.3
"MSM Inside KC",2012,"PLWHA","PLWHA",NA,4785,NA
"MSM Inside KC",2012,"Base Case","Undiagnosed Cases",349.4,356.4,364.6
"MSM Inside KC",2012,"Base Case","True Prevalence",5134.4,5141.4,5149.6
"MSM Inside KC",2012,"Base Case","Undiagnosed Fraction (%)",6.8,6.9,7.1
"MSM Inside KC",2012,"Upper Bound","Undiagnosed Cases",688.8,699.4,712.4
"MSM Inside KC",2012,"Upper Bound","True Prevalence",5473.8,5484.4,5497.4
"MSM Inside KC",2012,"Upper Bound","Undiagnosed Fraction (%)",12.6,12.8,13
"MSM Inside KC",2013,"PLWHA","PLWHA",NA,4887,NA
"MSM Inside KC",2013,"Base Case","Undiagnosed Cases",336.6,339.6,346.1
"MSM Inside KC",2013,"Base Case","True Prevalence",5223.6,5226.6,5233.1
"MSM Inside KC",2013,"Base Case","Undiagnosed Fraction (%)",6.4,6.5,6.6
"MSM Inside KC",2013,"Upper Bound","Undiagnosed Cases",668,672.9,681.6
"MSM Inside KC",2013,"Upper Bound","True Prevalence",5555,5559.9,5568.6
