"time","group","var","non-MSM","MSM","value"
2005,"Diagnoses and Incidence","# Diagnosed",33,34,67
2005.25,"Diagnoses and Incidence","# Diagnosed",17,39,56
2005.5,"Diagnoses and Incidence","# Diagnosed",31,32,63
2005.75,"Diagnoses and Incidence","# Diagnosed",22,33,55
2006,"Diagnoses and Incidence","# Diagnosed",20,35,55
2006.25,"Diagnoses and Incidence","# Diagnosed",23,40,63
2006.5,"Diagnoses and Incidence","# Diagnosed",24,28,52
2006.75,"Diagnoses and Incidence","# Diagnosed",31,33,64
2007,"Diagnoses and Incidence","# Diagnosed",36,42,78
2007.25,"Diagnoses and Incidence","# Diagnosed",22,42,64
2007.5,"Diagnoses and Incidence","# Diagnosed",32,35,67
2007.75,"Diagnoses and Incidence","# Diagnosed",21,32,53
2008,"Diagnoses and Incidence","# Diagnosed",23,24,47
2008.25,"Diagnoses and Incidence","# Diagnosed",26,48,74
2008.5,"Diagnoses and Incidence","# Diagnosed",28,26,54
2008.75,"Diagnoses and Incidence","# Diagnosed",22,25,47
2009,"Diagnoses and Incidence","# Diagnosed",28,49,77
2009.25,"Diagnoses and Incidence","# Diagnosed",31,34,65
2009.5,"Diagnoses and Incidence","# Diagnosed",23,29,52
2009.75,"Diagnoses and Incidence","# Diagnosed",19,26,45
2010,"Diagnoses and Incidence","# Diagnosed",34,33,67
2010.25,"Diagnoses and Incidence","# Diagnosed",16,31,47
2010.5,"Diagnoses and Incidence","# Diagnosed",29,31,60
2010.75,"Diagnoses and Incidence","# Diagnosed",21,30,51
2011,"Diagnoses and Incidence","# Diagnosed",23,45,68
2011.25,"Diagnoses and Incidence","# Diagnosed",13,31,44
2011.5,"Diagnoses and Incidence","# Diagnosed",19,25,44
2011.75,"Diagnoses and Incidence","# Diagnosed",29,37,66
2012,"Diagnoses and Incidence","# Diagnosed",28,33,61
2012.25,"Diagnoses and Incidence","# Diagnosed",23,40,63
2012.5,"Diagnoses and Incidence","# Diagnosed",19,28,47
2012.75,"Diagnoses and Incidence","# Diagnosed",24,22,46
2013,"Diagnoses and Incidence","# Diagnosed",17,33,50
2013.25,"Diagnoses and Incidence","# Diagnosed",21,29,50
2013.5,"Diagnoses and Incidence","# Diagnosed",18,28,46
2013.75,"Diagnoses and Incidence","# Diagnosed",21,31,52
2014,"Diagnoses and Incidence","# Diagnosed",18,25,43
2014.25,"Diagnoses and Incidence","# Diagnosed",20,22,42
2014.5,"Diagnoses and Incidence","# Diagnosed",21,22,43
2014.75,"Diagnoses and Incidence","# Diagnosed",18,22,40
2015,"Diagnoses and Incidence","# Diagnosed",16,19,35
2015.25,"Diagnoses and Incidence","# Diagnosed",15,35,50
2015.5,"Diagnoses and Incidence","# Diagnosed",27,43,70
2015.75,"Diagnoses and Incidence","# Diagnosed",25,34,59
2005,"Diagnoses and Incidence","Base Case",25.3673728036772,34.9919710054584,60.3593438091356
2005.25,"Diagnoses and Incidence","Base Case",25.2542136551104,34.9539746788408,60.2081883339512
2005.5,"Diagnoses and Incidence","Base Case",25.3289742747949,34.8715872285422,60.2005615033371
2005.75,"Diagnoses and Incidence","Base Case",25.3424354170191,34.8859321179999,60.228367535019
2006,"Diagnoses and Incidence","Base Case",25.5145883428805,34.9331895483345,60.447777891215
2006.25,"Diagnoses and Incidence","Base Case",25.7587455804219,34.9368982980021,60.6956438784239
2006.5,"Diagnoses and Incidence","Base Case",25.9605294821623,34.8519140417591,60.8124435239214
