"Subgroup","Year","Diagnoses/Case","PLWHA","Undiagnosed Cases","True Prevalence","Undiagnosed Fraction (%)"
"MSM Inside KC",2010,"Base Case",,386.5,,
"MSM Inside KC",2010,"Upper Bound",,751.2,,
"non-MSM Inside KC",2010,"Base Case",,352.3,,
"non-MSM Inside KC",2010,"Upper Bound",,682.3,,
"Inside KC",2010,"Base Case",,738.7,7192.7,10.3
"Inside KC",2010,"PLWHA",6454,,,
"Inside KC",2010,"Upper Bound",,1434,7888,18.2
"MSM Outside KC",2010,"Base Case",,365.5,,
"MSM Outside KC",2010,"Upper Bound",,712.7,,
"non-MSM Outside KC",2010,"Base Case",,428.5,,
"non-MSM Outside KC",2010,"Upper Bound",,789.4,,
"Outside KC",2010,"Base Case",,794,5223,15.2
"Outside KC",2010,"PLWHA",4429,,,
"Outside KC",2010,"Upper Bound",,1502,5931,25.3
"MSM",2010,"Base Case",,752,8966,8.4
"MSM",2010,"PLWHA",8214,,,
"MSM",2010,"Upper Bound",,1464,9678,15.1
"non-MSM",2010,"Base Case",,780.8,3449.8,22.6
"non-MSM",2010,"PLWHA",2669,,,
"non-MSM",2010,"Upper Bound",,1472,4141,35.5
"Total-stratified",2010,"Base Case",,1533,12416,12.3
"Total-stratified",2010,"PLWHA",10883,,,
"Total-stratified",2010,"Upper Bound",,2936,13819,21.2
"MSM Inside KC",2011,"Base Case",,370.8,,
"MSM Inside KC",2011,"Upper Bound",,725.1,,
"non-MSM Inside KC",2011,"Base Case",,348.7,,
"non-MSM Inside KC",2011,"Upper Bound",,680.9,,
"Inside KC",2011,"Base Case",,719.4,7055.4,10.2
"Inside KC",2011,"PLWHA",6336,,,
"Inside KC",2011,"Upper Bound",,1406,7742,18.2
"MSM Outside KC",2011,"Base Case",,358.3,,
"MSM Outside KC",2011,"Upper Bound",,696.3,,
"non-MSM Outside KC",2011,"Base Case",,417.7,,
"non-MSM Outside KC",2011,"Upper Bound",,771.9,,
"Outside KC",2011,"Base Case",,775.9,5470.9,14.2
"Outside KC",2011,"PLWHA",4695,,,
"Outside KC",2011,"Upper Bound",,1468,6163,23.8
"MSM",2011,"Base Case",,729.1,9059.1,8
"MSM",2011,"PLWHA",8330,,,
"MSM",2011,"Upper Bound",,1421,9751,14.6
"non-MSM",2011,"Base Case",,766.3,3467.3,22.1
